,,,,,,,,,,,,,,
,Carrera de Desarrollo Full Stack,Precio,Porcentaje,Queda a favor,,Carrera Data Scientist (2 cursos),Precio,Porcentaje,Queda a favor,,Carrera Data Analytics,Precio,Porcentaje,Queda a favor
,Programación Backend II: Diseño y Arquitectura Backend,"229.833,00","14,85%",TRUE,,Programación Backend III: Testing y Escalabilidad Backend,"229.833,00","17,08%",TRUE,,,,,
,Programación Backend III: Testing y Escalabilidad Backend,"229.833,00","14,85%",TRUE,,,,,,,,,,
,Total,"1.547.932,00","100,00%",,,Total,"1.345.866,00","100,00%",,,Total,"377.000,00","100,00%",
,,,,,,,,,,,,,,
,VALOR DE LA INSCRIPCIÓN,,,"17,00",,VALOR DE LA INSCRIPCIÓN,,,"7.000,00",,VALOR DE LA INSCRIPCIÓN,,,"136.800,00"
,VALOR ABONADO (si es con TC es el total),,,"17,00",,VALOR ABONADO (si es con TC es el total),,,"7.000,00",,VALOR ABONADO (si es con TC es el total),,,"136.800,00"
,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,17,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,7.000,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,62.778
,,,,,,,,,,,,,,
,Carrera de AI marketing,Precio,Porcentaje,Queda a favor,,Carrera de Product Design (3 cursos),Precio,Porcentaje,Queda a favor,,,,,
,AI automation,"204.000,00","37,36%",TRUE,,Diseño Ux/Ui,"89.900,00","36,59%",TRUE,,,,,
,SEO para AI,"138.000,00","25,27%",TRUE,,Prototipado (Figma y Adobe XD),"77.900,00","31,71%",TRUE,,,,,
,Creación de contenido con AI,"204.000,00","37,36%",TRUE,,Product Manager,"77.900,00","31,71%",TRUE,,,,,
,,,,,,,,,,,,,,
,Total,"546.000,00","100,00%",,,Total,"245.700,00","100,00%",,,,,,
,,,,,,,,,,,,,,
,VALOR DE LA INSCRIPCIÓN,,,"10,00",,VALOR DE LA INSCRIPCIÓN,,,"1.000,00",,,,,
,VALOR ABONADO (si es con TC es el total),,,"10,00",,VALOR ABONADO (si es con TC es el total),,,"1.000,00",,,,,
,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,10,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,1.000,,,,,
